sent_1,sent_2,sim,label,rand_id
Someone is cleaning an animal,Someone is dirtying an animal,3.4,CONTRADICTION,3367
A man is taking a picture of a drawing,A man is drawing a picture,2.865,NEUTRAL,4087
A kitten is drinking fresh milk,There is no kitten drinking milk,3.7,CONTRADICTION,1694
The herd of caribous is crossing a road,A herd of deer is stopping at the street,2.8,NEUTRAL,2924
A woman is boiling shrimps,There is no woman combing her hair,1.0,NEUTRAL,1180
A boy in a band is playing the flute,A girl in a uniform is playing the flute with a marching band,3.5,NEUTRAL,9236
A woman is beating two eggs in a bowl and using a whisk made of wire,A person is strongly whisking eggs in a bowl,4.6,ENTAILMENT,2087
A soccer ball is rolling into a goal net,A soccer player is kicking a ball into the goal,4.3,NEUTRAL,370
A man is eating a pizza,Some food is being eaten by a man,4.4,ENTAILMENT,4113
A grey dog is bouncing a tennis ball on its head in a grass field,A dog with a blue collar is playing with the ball outside,3.2,NEUTRAL,9101
A black cat is swinging on a fan,A cat is swinging on a fan,4.5,ENTAILMENT,1287
A cat is eating some corn,The cat is eating some corn,5.0,ENTAILMENT,2530
A family is posing by the mantel and the Christmas tree,A happy family is posing by the fireplace,3.4,NEUTRAL,6987
The rider is biking in the rain and wearing a red jacket,A cyclist is biking in a snowy forest at night,3.0,NEUTRAL,8982
A boy is playing an instrument,A kid is playing guitar,4.0,NEUTRAL,4799
A woman is amalgamating eggs,A woman is mixing eggs,4.5,ENTAILMENT,1251
A tiger cub is playing with a ball,A baby is playing with a doll,1.4,NEUTRAL,5745
A bike is being ridden by a person,A bike rider in a black and red uniform is standing on a dirt bike,3.4,NEUTRAL,6423
A young female is dancing,A young girl is dancing,4.7,ENTAILMENT,6584
A man is bringing up the rear of the race,A few men in a competition are running outside,3.7,NEUTRAL,723
A woman is cutting onions,A woman is not cutting tofu,3.2,NEUTRAL,5530
"A woman is standing at dusk on an almost pristine, snowy road, that is lit only by headlights","A man is standing at dusk on an almost pristine, snowy road, that is lit only by headlights",3.7,NEUTRAL,9342
The women are not dancing outside,The women are dancing outside,3.3,CONTRADICTION,3915
The person isn't dicing up an orange pepper,A cook is slicing some bell peppers,3.5,NEUTRAL,1823
The girl in blue is chasing the base runner with a number on the jersey,A man in blue has a yellow ball in the mitt,2.7,NEUTRAL,8152
A man is jumping into a pool,A man is diving into a pool,4.8,ENTAILMENT,5327
A man is participating in a bmx race,There is no man in a red uniform making a jump in a dirt bike race,2.8,NEUTRAL,6974
The man with the dyed purple hat is operating a camera that makes videos,A man with a camera is studying the subject,3.4,NEUTRAL,731
The piano is being played by a man,A woman is playing the violin,1.9,NEUTRAL,5081
A potato is being peeled by a woman,A woman is peeling a potato,5.0,ENTAILMENT,3359
A soccer player is being tackled by his opponent,Rugby players are tackling each other,1.9,NEUTRAL,7005
A man is riding a horse,There is no woman riding a horse,4.3,NEUTRAL,4549
The person is peeling an onion,A person is peeling an onion,4.9,ENTAILMENT,3719
The man in the purple hat is operating a camera that makes videos,A man with a camera is studying the subject,3.3,NEUTRAL,736
A man is rapidly chopping some mushrooms with a knife,A man is quickly chopping some mushrooms with a knife,4.9,ENTAILMENT,4266
The man is eating cereal,There is no man eating a bowl of cereal,3.7,CONTRADICTION,2253
A brown dog is staring attentively at a brown and white dog,The little dog is grabbing the bedroom slipper with its mouth funnily,2.5,NEUTRAL,6060
A man is parking a motorbike,A man is riding a motorbike,3.3,NEUTRAL,2005
A boy in his teens is talking to a girl with an internet camera,A boy in his teens is talking to a girl with a webcam,4.7,ENTAILMENT,2064
A blonde man is hanging by gymnastic ropes,People are dangling from straps and kicking at each other,2.1,NEUTRAL,8006
A lone biker is jumping in the air,A man is jumping into a full pool,1.7,NEUTRAL,93
Nobody is on a motorcycle and is standing on the seat,Someone is on a black and white motorcycle and is standing on the seat,3.7,CONTRADICTION,194
A boy is checking a calendar,There is no boy checking a calendar,3.2,CONTRADICTION,3935
A girl in a band is playing the flute,A boy in a band is playing the flute,4.1,NEUTRAL,9230
A father is pushing his daughter on a go-kart and another girl is watching,A white dog is standing on fallen leaves,1.0,NEUTRAL,9814
The ice hockey goalkeeper is wearing a yellow jersey and is defending the goal,A hockey player in a yellow jersey is guarding the goal,4.6,ENTAILMENT,6545
A woman is putting away the garlic,The woman is dicing garlic,3.6,NEUTRAL,3511
A monkey is teasing a dog at the zoo,A dog is being teased by a monkey at the zoo,4.9,ENTAILMENT,4802
A man is making a speech on a podium,A man is speaking on a stage,4.1,NEUTRAL,1202
A furry brown dog is running through the grassy area,The furry brown dog is running through the grassy area,5.0,ENTAILMENT,7277
A woman is cutting a tomato,A woman is dancing near a fire,1.5,NEUTRAL,5823
A person in a pink jacket is running onto the field,Four athletes are with a man in a crowded stadium,1.5,NEUTRAL,7933
An email is being read by a man,A person is peeling a banana,1.0,NEUTRAL,4996
A brown dog is running after a black dog on a rocky shore,A brown dog is running after a dark dog on a rocky shore,4.6,ENTAILMENT,9024
A large group of Asian people is eating at a restaurant,Various customers are eating in a crowded restaurant with purple lights,2.9,NEUTRAL,184
A man is playing the guitar,There is no man playing the guitar,4.3,CONTRADICTION,5384
A dog is running on the sand and chasing a ball,A brown and white dog is biting a dirty tennis ball in a dirt field,3.4,NEUTRAL,9657
A baby is crawling happily,A baby is cheering another baby,2.7,NEUTRAL,3132
"A man is standing at dusk on an almost pristine road covered by snow, that is lit only by headlights",A person is standing in the snow at the edge of a mountain,3.6,NEUTRAL,9343
The group of people is sitting in a dim room,The group of people is sitting in a room which is dim,4.9,ENTAILMENT,7466
A football player in a purple jersey is running with the ball for a touchdown,There is no football player in a purple jersey running with the ball for a touchdown,4.3,CONTRADICTION,7539
A woman is chopping up garlic,Garlic is being diced by the woman,4.8,ENTAILMENT,3508
The guitar is being played by a kid,A kid is playing the guitar,4.8,ENTAILMENT,5633
A person is slicing some ginger,A person is cutting some ginger,4.9,ENTAILMENT,4815
The motorcycle racer is riding a red and black bike,No motorcycle racer is riding a red and black bike,3.8,CONTRADICTION,9726
A brown dog is running after a black dog on a rocky shore,Two dogs are playing on a beach,4.1,NEUTRAL,9030
Nobody is playing with a toad,Someone is playing with a toad,3.9,CONTRADICTION,5249
There is no dog standing on one leg and is waiting for a soccer ball,A black and white dog is jumping for a ball,3.0,NEUTRAL,9609
Recruits are talking to an officer,An officer is talking to the recruits,3.7,NEUTRAL,4934
The equipment in front of the blond dancing girl is sound,A girl in white is dancing,2.7,NEUTRAL,225
The people are sitting aimlessly on a bench in front of a restaurant,The people are sitting on a bench in front of a restaurant,4.4,ENTAILMENT,6736
A man and two women in a darkened room are sitting at a table with candles,The group of people is sitting in a dim room,3.7,ENTAILMENT,7476
Several swimmers are dashing into the water,Several swimmers are jumping into the water,4.1,NEUTRAL,3728
The boy is speedily riding a tricycle,A woman is riding a water scooter,1.4,NEUTRAL,3378
A little girl is playing a grand piano on stage,A girl is practicing the piano,3.8,NEUTRAL,2842
The man is using a sledgehammer to break a concrete block that is on another person,A man and a woman are walking together through the woods,1.0,NEUTRAL,9895
A woman is cracking eggs into a bowl,A woman is placing skewers onto a rack,2.4,NEUTRAL,5407
A man is working on the laptop,The man is not feeding the snake with a mouse,1.1,NEUTRAL,5548
There is no woman playing an electric guitar,A woman is playing an electric guitar,4.2,CONTRADICTION,2998
"Two men are doing a skit, which is very funny, with a boxer in front of a crowd of people",A rabbit is playing with a toy rabbit,1.0,NEUTRAL,9955
A man is playing a flute,A flute is being played by a man,4.9,ENTAILMENT,5345
The little boy is riding a bicycle in a race,A bicycle is being ridden by the little boy in a race,4.8,ENTAILMENT,8093
The bride and the groom are leaving after the marriage,The bride and the groom are leaving after the wedding,4.8,ENTAILMENT,737
A man is opening a door,There is no man opening a door,3.6,CONTRADICTION,5051
A snake is being fed a mouse by a man,No snake is being fed a mouse by a man,4.7,CONTRADICTION,1608
A man is riding a motorbike in the event related to motocross,A person is riding a motorbike in the event related to motocross,4.4,ENTAILMENT,1061
A person who plays soccer is kicking a ball into the goal,A soccer ball is rolling into a goal net,4.1,NEUTRAL,366
A person is singing and playing a guitar,A boy is playing a piano,3.1,NEUTRAL,3995
A man and a woman are driving down the street in a jeep,A man and a woman are not driving down the street in a jeep,4.4,CONTRADICTION,5899
A large man is sitting in a military accessories shop,A large man is sitting in a military accessories store,5.0,ENTAILMENT,9085
A large green ball is hitting a potato,A big green ball is knocking a potato,4.8,ENTAILMENT,2974
A man is riding a motorcycle,A motorcycle is being ridden by a man,5.0,ENTAILMENT,5835
A person is folding a sheet,A person is folding a piece of paper,3.5,NEUTRAL,5264
People are walking through a crowded street,People are walking through a street which is crowded,4.815,ENTAILMENT,7757
A lady is wearing a black dress and is carrying a white cross,A woman in a black dress is pulling a cart and is standing in front of two men who are seated on a park bench,2.7,NEUTRAL,9156
Some tofu is being sliced by one woman,Tofu is being sliced by a woman,4.9,ENTAILMENT,1829
A yellow dog is running up a sandy path,A golden retriever is running,4.0,NEUTRAL,9600
A woman is sitting near a flower bed and is overlooking a tunnel,Two people are sitting on a bench,1.5,NEUTRAL,9255
Two sumo wrestlers are fighting,A man is riding a water toy in the water,1.0,NEUTRAL,5115
A laughing man is dyeing a shirt black on the table which you cannot sit at ,A man wearing a dyed black shirt is sitting at the table and laughing,3.6,NEUTRAL,507
Five kids are standing close together and none of the kids has a gun,Five children are standing in front of a wooden hut,2.6,NEUTRAL,124
A couple is looking at a street guide,A man and a woman are standing in front of an art gallery and are looking at a map,3.7,ENTAILMENT,8918
A dark black dog and a light brown dog are playing in the yard in the back,A dark black dog and a light brown dog are playing in the backyard,4.9,ENTAILMENT,557
The horse is being ridden by a man,A man is driving a motorbike,1.8,NEUTRAL,2007
The herd of caribous is crossing a road quickly,The herd of caribous is crossing a road,4.2,ENTAILMENT,2919
There is no monkey teasing a dog at the zoo,A monkey is pulling a dog's tail,3.4,CONTRADICTION,4812
A little boy is sitting in a green tunnel with a smile on his face,A little boy is crawling in a green tunnel with a smile on his face,4.6,NEUTRAL,7556
One brown and black dog is running through the leaves,A brown and black dog is running through the leaves,4.8,ENTAILMENT,6101
"The woman is happily playing a guitar, which is acoustic, and singing",A person is playing a guitar and singing,4.4,ENTAILMENT,1970
A dog is eating a doll,A dog is biting a doll,4.3,ENTAILMENT,4181
The bicyclist is riding on a city street,The bicyclist is not riding on a city street,4.2,CONTRADICTION,6565
A woman is not talking on a telephone,Two boys are talking on the phone,2.8,NEUTRAL,1213
A man with no hat is standing outside of a green jeep,A man is standing on a dirt hill next to a black jeep,3.4,NEUTRAL,8564
A homeless man is holding up a sign and is begging for money,A homeless man is holding up a sign and is pitifully begging for money,4.9,ENTAILMENT,6017
A man is wearing a clear plastic cap and a mask,A man by a brick wall is wearing a mask around his mouth and a hair net,2.8,NEUTRAL,9262
A white and tan dog is running through the tall and green grass,A white and tan dog is running through a field,4.35,ENTAILMENT,384
One climber is holding a rock and another man is roping a wall,The black and white dog is running outdoors,1.4,NEUTRAL,9903
A boy is comfortably sitting in a room and playing a piano by a lamp,A boy is sitting in a room and playing a piano by lamp light,4.1,ENTAILMENT,2988
A man is playing the guitar,A person is listening to a trumpet playing,1.5,NEUTRAL,1573
The dog in the dyed red vest is running in the field,The dog in the red vest is running in the field,4.5,ENTAILMENT,6470
A bearded man is standing by a shopping cart and is holding a cardboard sign,A man is seeking a sign and is holding some money,3.1,NEUTRAL,6924
A man is recklessly riding a horse,The elephant isn't being ridden by the woman,1.4,NEUTRAL,1729
Seasoning is being added to the water by the man,The man is seasoning the sausages,3.7,NEUTRAL,5342
There is no little boy wearing a green soccer strip and running on the grass,A little boy is wearing a green soccer strip and is running on the grass,3.6,CONTRADICTION,7649
Three children are running up a grassy hillside,Three children are running down a grassy hillside,4.3,NEUTRAL,8690
A man is dancing,A man is praying fervently,1.7,NEUTRAL,4196
A boy is checking a calendar,A boy is looking at a calendar,4.6,ENTAILMENT,3942
A dog is excitedly playing with water in the grass,A snap is depicting some water falling in droplets on the dog,2.9,NEUTRAL,789
The men are performing on stage,Mimes are performing on a small stage,3.5,NEUTRAL,1553
A boy under an umbrella is being held by his father who is wearing a coat dyed in blue,A boy under an umbrella is being held by his father who is wearing a blue coat,4.6,ENTAILMENT,7724
A clown is singing and people are dancing,A song is being sung by a clown,4.5,ENTAILMENT,4254
A man with tattoos is holding a couch with a pencil,A man with tattoos is lounging on a couch and holding a pencil,2.6,NEUTRAL,375
Three boys are rocking the walk along the river,The men in brown shorts are walking on the rocks beside a river,2.9,NEUTRAL,6772
A woman is cracking some eggs into a container,A woman is adding ingredients to a bowl,4.3,NEUTRAL,1161
The man is doing a wheelie on a mountain bike,A man is riding on a bicycle with one wheel only,4.2,NEUTRAL,7262
The man is eating,The person is eating,4.4,ENTAILMENT,3111
Four people are walking on a bridge over a river,Four people are walking on a bridge over a body of water,4.6,ENTAILMENT,8750
A dog is chasing a ball in the grass,A ball is being chased by a dog on the grass,4.7,ENTAILMENT,7418
An officer is talking to the recruits,An officer is listening to the recruits,3.2,NEUTRAL,4933
A brown dog is running across the yard with a toy in its mouth,There is no brown dog running across the yard with a toy in its mouth,3.8,CONTRADICTION,7214
The oil is being stirred by a man,The man is stirring oil,4.9,ENTAILMENT,1484
A woman is receiving volleyballs,A woman is serving volleyballs over a net,4.1,NEUTRAL,3443
A dog with a blue collar is not playing with the ball outside,A dog with a blue collar is playing with the ball outside,3.95,CONTRADICTION,9097
A man is opening a door,A man is cutting an onion,1.0,NEUTRAL,5056
Someone is playing with a toad,Someone is playing with a frog,4.2,NEUTRAL,5248
An onion is being chopped,Someone is holding a hedgehog,1.0,NEUTRAL,4978
A group of Asian girls are standing by themselves,A group of Asian girls are standing together,3.7,ENTAILMENT,6195
A man is being roped before a climb,A man is climbing a rope,3.1,NEUTRAL,2497
A large dog is running on the grass with a tennis ball in its mouth,"A dog, which is large and gray, is difficultly carrying a ball in its mouth and running across the grass",4.2,NEUTRAL,1088
The woman is chopping some bread and fried pork,The woman is frying a breaded pork chop,2.9,NEUTRAL,3319
A little girl is playing the violin on a beach,The girl is sitting on the sofa and crocheting,1.9,NEUTRAL,4752
"The male, who is dark skinned, is standing on one hand in front of a yellow building",A black man is break dancing on the pavement,2.7,NEUTRAL,6411
The bride and the groom are arriving after the wedding,A married couple is walking down the aisle,4.0,NEUTRAL,747
A woman is cutting a potato,There is no woman slicing an onion,2.7,NEUTRAL,4666
A man is putting down the guitar,A woman is playing a guitar,2.7,NEUTRAL,3748
The woman is cooking eggs,A woman is cooking eggs,5.0,ENTAILMENT,2845
There is no man playing a keyboard,A man is playing a guitar,2.7,NEUTRAL,1435
There is no white car being driven by the man,A white car is being driven by the man,3.5,CONTRADICTION,2092
A dog is pushing a toddler into a rain puddle,A boy is knocking a dog with a bottle of water,2.1,NEUTRAL,2242
A dead bird is near a black man sitting on a tree,The black bird is sitting in a leafless tree,2.8,NEUTRAL,6721
A baby is sneezing and scaring another baby,A young child with black hair is deleting a picture from the camera,1.0,NEUTRAL,9878
There is no little kid playing football and falling into the grass,The little kid is playing football and falling into the grass,4.1,CONTRADICTION,831
A brown and white dog is holding a baseball in its mouth,A black and white dog is dropping a baseball from its mouth,3.3,NEUTRAL,6119
"A lady of young age, with light brown hair, is wearing a red necklace, a sweatshirt and earrings and is smiling",A teenage girl is wearing beads that are red,3.1,NEUTRAL,606
An old woman is shaking hands with a man,An woman that is old is shaking hands with a man,4.9,ENTAILMENT,4277
A boy is standing in a room by a lamp light,A boy is sitting in a room and playing a piano by lamp light,3.7,NEUTRAL,2989
A lemur is hanging on a cord,A lemur is hanging on a rope,4.4,ENTAILMENT,5149
A man is standing on a dirt hill next to a black jeep,A man in a hat is standing outside of a green vehicle,2.6,NEUTRAL,8563
The man is being knocked off of a horse,Someone is falling off the horse,3.9,ENTAILMENT,2222
An officer is talking to the recruits,An officer is talking to the soldiers,4.2,NEUTRAL,4932
A great dog is climbing a steep hill,There is no light brown dog running up a street,2.5,NEUTRAL,7752
A machine is sharpening a knife,The machine is shaving the end of a pencil,2.1,NEUTRAL,1365
There is no blond child holding a yellow bottle,Someone is playing the guitar,1.0,NEUTRAL,9765
A brown dog and a black dog are frolicking in the sand,A brown dog and a black dog are playing in the sand,4.5,ENTAILMENT,7124
A brown dog is running through the grass which is tall and green,A golden dog is running through a field of tall grass,4.3,ENTAILMENT,6865
A man is being roped by a climber,A rope is being climbed by a man,3.3,NEUTRAL,2103
A man is cutting tomatoes,A man is slicing tomatoes,5.0,ENTAILMENT,5489
A woman is scrubbing a zucchini with a brush for vegetables,A person is scrubbing a zucchini,4.6,ENTAILMENT,3795
A man is not cutting a potato,A man is cutting a potato,3.6,CONTRADICTION,4825
Two white cats are playing with a brown dog and a ball,Two white dogs are playing with a brown dog and a ball,3.6,NEUTRAL,7890
The military officer is barking at the recruits,An officer is listening to the recruits,3.3,NEUTRAL,4942
A woman is playing with two young boys at a park,There is no woman playing with two young boys at a park,4.3,CONTRADICTION,6307
A group of children is playing in the house and there is no man standing in the background,A group of kids is playing in a yard and an old man is standing in the background,3.2,NEUTRAL,2
A small dog is chasing a large brown cow,The tail of an animal is being chasing by a dog in the grass,2.9,NEUTRAL,6029
Some oil is being poured on the tomatoes by the man,The man is pouring some oil on the tomatoes,4.8,ENTAILMENT,1680
A brown and black dog is running through the leaves,There is no dog in a colored coat running across the yard,3.1,NEUTRAL,6108
A man is singing and playing a guitar,A boy is skillfully playing a piano,2.3,NEUTRAL,3998
Paper is being cut with scissors,The piece of paper is being cut,4.4,ENTAILMENT,3574
A man is thinking,A man is dancing,2.6,NEUTRAL,3479
A man is playing a flute,A man is playing a guitar,2.9,NEUTRAL,4525
A woman and three men are posing for a photo,A woman is posing for three men for a photo,3.5,NEUTRAL,7133
People are dangling from straps and kicking at each other,Nobody is dangling from straps and kicking at each other,3.785,CONTRADICTION,8002
The group of people is sitting on a rocky ledge and a scenic view is behind them,Four people are sitting on a low cement ledge,3.2,NEUTRAL,6191
A happy family is posing by the fireplace,"A family, which looks happy, is posing by the fireplace",4.5,ENTAILMENT,6979
A woman is using a pencil for eyes and is applying eye liner to her eyelid,A woman is applying cosmetics to her eyelid,4.6,ENTAILMENT,3122
A surfer is riding a big wave,The surfer is riding a big wave,5.0,ENTAILMENT,7768
A brown and black dog is pointing the nose upwards,A black and brown cat is eyeing a fly,1.5,NEUTRAL,9083
A man is playing a flute made of bamboo,The man is playing a flute,4.1,ENTAILMENT,2579
A large crowd in warm clothing is posing for a camera,"Two men, a woman, and two young boys are standing in front of a large gathering of people outside a building",2.4,NEUTRAL,6945
A dog is fetching a stick out of very clear water,A small black and white dog is biting a stick and is swimming,3.8,NEUTRAL,9579
A rope is being climbed by a man,A man is eating a carrot sliced by a machine,1.0,NEUTRAL,2109
Someone is cutting a tomato,The woman is holding a whole tomato,3.5,NEUTRAL,2402
There is no man drawing a picture,A man is drawing a picture,3.9,CONTRADICTION,4086
A person is stupidly throwing a cat at the ceiling,A person is throwing a cat at the ceiling,4.5,ENTAILMENT,3759
A black dog is jumping off a dock into water,A black dog is jumping from a dock into the water,4.9,ENTAILMENT,8412
A man is sharpening a weapon,A man is carrying a woman,1.5,NEUTRAL,4900
A man is spreading dough,Dough is being spread by a man,4.8,ENTAILMENT,1448
A man and two women in a darkened room are sitting at a table with candles,The group of people is not sitting in a dim room,3.8,CONTRADICTION,7474
A group of five young adults are lounging in the room,A group of five young adults are lounging indoors,4.385,ENTAILMENT,8959
The puppy is not playing with a plastic container,The puppy is playing with a plastic container,3.2,CONTRADICTION,3036
A man is fitting a silencer to a pistol,A man is applying a silencer to a gun,4.8,ENTAILMENT,4734
Some paper is being cut,Paper is being cut with scissors,4.9,ENTAILMENT,3569
A woman is cutting meat,A woman is slicing some meat,4.9,ENTAILMENT,4147
The lady is adding cheese to the sauce,The woman is removing cheese from the sauce,3.4,CONTRADICTION,2350
A person is bowling the ingredients to the man at the mixer,Some ingredients are being mixed in a bowl by a person,2.8,NEUTRAL,1629
The snowboarder is doing a flip over a mound of snow,Somebody is jumping in the air on a board,3.8,ENTAILMENT,6932
People wearing costumes are gathering in a forest and are looking in the same direction,The little girl is looking at a man in costume,3.0,NEUTRAL,84
A white dog is lying on fallen leaves,A white dog is standing on the leaves on the ground,3.4,NEUTRAL,7013
Dirt bikers are riding on a trail,Two people are not riding motorbikes,2.7,NEUTRAL,8901
A motorcyclist on a bike is leaning into a sharp corner,A man on a motorcycle is going around a corner,4.2,NEUTRAL,8457
There is no man sprinkling cheese on the pizza,A man is putting some cheese on a pizza,3.8,CONTRADICTION,5701
A young couple is lying on a bed together,A young couple is not lying in bed,3.7,CONTRADICTION,8739
The plane is landing,A plane is landing,4.9,ENTAILMENT,2807
An ice skating rink placed outdoors is full of people,An ice skater is outdoors performing on a rink full of people,4.0,NEUTRAL,869
A man in a hat is standing outside of a green jeep,A man with no hat is standing outside of a green jeep,3.95,CONTRADICTION,8562
The woman is not wearing a red jacket and is not holding a glass in front of the man in a white t-shirt,A person is wearing a red jacket and holding a beer,2.4,NEUTRAL,7501
A man in blue jeans is standing in front of a group of children beside a stone built house,A woman in blue jeans is standing in front of a group of children beside a stone built house,3.5,NEUTRAL,9194
A big cat is opening a plastic drawer with its paws and is jumping inside,A cat is opening a drawer and climbing inside,4.4,ENTAILMENT,5007
The young boys are playing outdoors and the man is smiling nearby,The kids are playing outdoors near a man with a smile,4.7,ENTAILMENT,3
A man is performing a handstand on the beach,A handstand is being performed by a man on the beach,4.9,ENTAILMENT,7668
A band is not playing some instruments,A band is playing some instruments,3.8,CONTRADICTION,4852
There is no boy filling a pitcher with water,A boy is filling a pitcher with water,3.5,CONTRADICTION,3658
The person is not going into the water,The man is going into the water,3.5,NEUTRAL,8501
A brown dog is running in the snow,A dog is running through the snow,4.2,ENTAILMENT,9565
A man is planting a tree,A man is picking up a tree,3.9,NEUTRAL,1559
A boy is spanking a man with a plastic sword,A boy is spanking a man with a toy weapon,4.5,ENTAILMENT,1318
There is no person wearing grey pants who is airborne on a snowboard,A person wearing grey pants is airborne on a snowboard,3.0,CONTRADICTION,7787
A girl is doing a manicure,A girl is styling her hair,2.0,NEUTRAL,4839
A woman is cutting tofu,A woman is chopping onions,2.9,NEUTRAL,5531
A boy is not playing a guitar,A kid is playing guitar,3.6,NEUTRAL,4800
A woman is boiling noodles in water,The person is boiling noodles,4.6,ENTAILMENT,2708
"A dog next to a tree, which is probably a pine, is biting a bucket",There is no dog which is furry and black in a back yard carrying a basket in its mouth.,3.2,NEUTRAL,696
A father is pushing his daughter on a go-kart and another girl is watching,A girl is pushing a go-kart and a daughter is watching her father,3.6,NEUTRAL,6845
A dog is chasing a ball,The dog is not catching a blue ball,3.4,NEUTRAL,7491
A guitar is being played by a kid,A kid is playing guitar,5.0,ENTAILMENT,4795
Two old ladies are wearing worn dresses at home,A woman in a white dress and a woman in a blue dress are standing on a stage,2.6,NEUTRAL,6658
There is no classroom full of students looking in the same direction inside a bamboo structure,A group of students in uniforms is listening attentively at the front of the class,2.6,NEUTRAL,6674
A talented man is playing the guitar,A woman is playing a guitar,3.2,NEUTRAL,3747
An electronic man is held as a device,A man is holding up an electronic device,2.5,NEUTRAL,6499
A dog is chasing another and is holding a stick in its mouth,A dog is chasing another and is holding a piece of wood in its mouth,4.6,ENTAILMENT,351
Someone is boiling okra in a pot,The man is not playing the drums,1.0,NEUTRAL,9997
A boy wearing a striped shirt is running barefoot on the sandy hill,A woman is wearing a blue helmet and is riding a bicycle in a parking lot,1.0,NEUTRAL,9776
A dog is looking around,A dog is looking at a piece of furniture in a shop,4.3,NEUTRAL,5223
"A ball, which is green and big, is knocking a potato",A large green ball is hitting a potato,4.6,ENTAILMENT,2971
Some cats are playing with each other,Two cats are fighting each other,2.9,NEUTRAL,2860
A person is taking away the meat in the skillet,The baby is being put into a trash can by a woman,1.0,NEUTRAL,1940
The man in the hat is smoking a straw cigarette,The man in the straw hat is smoking a cigarette,3.6,NEUTRAL,7306
A woman is looking curiously at a man,"A man and a woman are in a beige room, wearing dark colored shirts and a monitor is in the background",2.4,NEUTRAL,6053
There is no dog turning on the grass and pursuing a flying ball,A yellow dog is chasing a ball,3.2,NEUTRAL,9189
Racers are running down a track,Some men are resting,1.3,NEUTRAL,3686
The woman is playing a flute,A woman is playing a flute,5.0,ENTAILMENT,3825
A woman is playing the flute,The flute is being played by a woman,4.8,ENTAILMENT,5455
There is no dog jumping for a Frisbee in the snow,A dog is jumping for a Frisbee in the snow,3.6,CONTRADICTION,6775
A little girl is selling a scooter,A little girl is peddling a scooter,3.8,NEUTRAL,4947
Three boys are jumping off a platform,A boy is jumping off a platform and two other boys are standing and staring at him,3.7,NEUTRAL,6684
A dog is walking along the snowdrift,A dog is playing alone on a beach covered by snow,2.7,NEUTRAL,7741
The tan dog is watching a brown dog that is swimming in a pond,There is no pet dog standing on the bank and looking at another brown dog in the pond,2.5,NEUTRAL,6582
A boy is whacking a man with a sword,A boy is spanking a woman with a plastic sword,3.5,NEUTRAL,1328
A woman is slicing butter,There is no woman slicing tofu,2.8,NEUTRAL,5683
Two people are sitting on a park bench on a sunny day,Two people are sitting on a park bench on a rainy day,3.2,NEUTRAL,8506
The woman is dicing onions,A woman is swiftly cutting an onion,4.5,NEUTRAL,2619
There is no seabird flying over some rocks,A seabird is flying over some rocks,3.7,CONTRADICTION,6825
"A biker with a blue jacket, black pants and a white helmet is driving on dirt and people are watching",The motocross rider is wearing blue and black pants,3.4,NEUTRAL,7045
An Arabic man isn't wearing a white hat,A man with a white hat and brown shirt is behind a woman in red and is looking to the left,2.3,NEUTRAL,8593
People are clustered around a bonfire at night,People are clustered around a bonfire at morning,3.6,NEUTRAL,8796
A dog is catching a black frisbee,A dog is biting a black frisbee,4.1,NEUTRAL,8876
The dog is jumping in the shade of some trees,A dog is jumping in the shade of some trees,4.9,ENTAILMENT,9447
"Four middle eastern children, three girls and one boy, are climbing on the grotto with a pink interior",A group of kids is playing on a colorful structure,3.8,ENTAILMENT,6695
The girl in the blue and white uniform is cheering,The girl is cheering the man in the blue and white uniform,3.1,NEUTRAL,882
A little girl is looking at a woman in costume,People wearing costumes are scattering in a forest and are looking in different directions,2.4,NEUTRAL,81
A dog is chasing the tail of an animal in the grass,The tail of an animal is being chasing by a dog in the grass,4.9,ENTAILMENT,6027
There are no dogs fighting for a frisbee in a lake,Two brown dogs are playing with a frisbee in the water,3.9,NEUTRAL,7511
Some women are dancing and singing ,A woman is dancing and singing in the rain,3.8,NEUTRAL,1237
The women are not singing and dancing,The women are singing and dancing,3.9,CONTRADICTION,5861
A young boy in a helmet is riding a bike on the road,The little girl is riding a bicycle in a race,3.0,NEUTRAL,8096
One man is climbing a cliff with a rope,"A person is standing in front of a rock with a rope, which is pink",3.4,NEUTRAL,646
A dog is running through the white snow,A dog is running through the snow,4.7,ENTAILMENT,9557
There is no man running down the road,A man is running down the road,3.4,CONTRADICTION,2429
Two children are playing on a statue,Some children are playing on a statue,4.3,ENTAILMENT,7346
A family is watching a little boy who is hitting a baseball,A family is watching a little boy who is missing a baseball,3.9,NEUTRAL,170
A girl is jumping rope on a sidewalk near a parking garage,A girl is skipping rope on near a street,3.7,NEUTRAL,8792
A young girl with a heart tank top is raising her hands as she is playing on a slide,A blond child is going down a slide and throwing up his arms,2.8,NEUTRAL,9017
A prawn is being cut by a woman,A woman is cutting shrimps,4.0,NEUTRAL,1405
A man is sitting in a field,A man is running in a field,2.6,NEUTRAL,130
Two dogs are playing on a rocky beach,A black dog is approaching a golden dog on pebbly beach,3.6,NEUTRAL,9039
A woman is slicing a clove of garlic,A woman is washing a big pepper,2.4,NEUTRAL,3970
A woman is not riding a horse,A woman is riding a horse,4.5,CONTRADICTION,4305
A man is sitting on a train and resting his hand against his face,The bearded man is sitting on a train,3.8,NEUTRAL,7441
