sent_1	sent_2	sim
La institución del país del europeo, justificó el sacrificio argumentando que fue una decisión para sevitar futuros problemas de consanguinidad porque el objetivo del zoo es asegurarse que los mejores genes pasan a las generaciones venideras, preservándose así a largo plazo la supervivencia de las especies que acogens, cita ABC.es., a pesar de los denuncias y campañas online de defensores de los animales y las ofertas de otros zoo para recibir a Marius.	La dirección de la institución dijo que la jirafa, apodada Marius, debía ser sacrificada porque el objetivo del zoo es asegurarse que los mejores genes pasen a las generaciones venideras, preservándose así a largo plazo la supervivencia de las especies que reciben, según la agencia EFE.	2.6
La cifra sobre la herencia de Mandela es estimativa, ya que excluye los beneficios que derivados de los derechos de imagen, explicó el juez Dikgang Moseneke, uno de los tres custodios del testamento, de 40 páginas.	Además de a su familia, Mandela lega parte de su patrimonio a sus colaboradores más cercanos, a las instituciones educativas por las que pasó y a su partido, el gubernamental Congreso Nacional Africano .	1.8
Las negociaciones de dos días se enmarcaban en una hoja de ruta establecida en noviembre entre la AIEA e Irán, que preveía seis etapas que debía cumplir Teherán de aquí al 11 de febrero, entre ellas la visita de expertos de la agencia a la planta de producción de agua pesada de Arak y a una mina de extracción de uranio en Gachin .	La cita, que puede durar todo el día, se enmarca en una hoja de ruta establecida en noviembre entre la AIEA e Irán, que preveía seis etapas que debe cumplir Teherán de aquí al 11 de febrero, entre ellas la visita de expertos de la agencia a la planta de producción de agua pesada de Arak.	3
La mandataria remarcó que ordenó a la Policia Federal que apoye las investigaciones para encontrar a los culpables y aplicar las penas que correspondan.	La presidenta de Brasil, Dilma Rousseff, indicó que la muerte de Andrade sindigna y entristeces y ofreció la ayuda de la policía federal para hallar a los culpables.	2.6
A una mesa de diálogo Francisco se comunicó por teléfono con su amiga Alicia Barrios, periodista del diario Crónica, para desearle un feliz cumpleaños, y ante una consulta de ella le confirmó que la convocatoria a la mesa de diálogo es “todo un disparate”.	Sin embargo, pasado el mediodía del domingo la noticia fue desmentida por el propio Francisco: según el sitio Infobae, el pontífice se comunicó por teléfono con su amiga Alicia Barrios, periodista del diario Crónica, para desearle un feliz cumpleaños, y ante una consulta de ella le confirmó que la convocatoria a la mesa de diálogo es “todo un disparate”.	3.75
De esta manera, el juez cumple con el proceso establecido, ya que la sección cuarta de la Sala de lo Penal de la Audiencia Nacional le instó en noviembre pasado a que cursara las ordenes de detención de los cinco.	De esta manera, el juez acata la orden de la sección cuarta de la Sala de lo Penal de la Audiencia Nacional, que el pasado noviembre instó a Moreno a que cursara las órdenes de detención de los cinco en contra de la opinión del propio magistrado, quien hasta este lunes no había dado curso a este mandato del tribunal.	3.6
El PAC no ha gobernado nunca y fue formado por disidentes del PLN, que ha gobernado el país en diferentes etapas de la historia democrática de Costa Rica y en concreto consecutivamente durante los últimos 8 años.	El profesor universitario y candidato del PAC, Luis Guillermo Solís, al que las encuestas situaban en cuarto lugar, se enfrentará a Johnny Araya, alcalde de San José durante 21 años y sucesor en el partido oficialista de la saliente Laura Chinchilla, la gobernante más impopular de la historia reciente del país.	1
El creador del popular juego Flappy Bird Creator ha retirado la aplicación de las tiendas de App Store y Google Play, cumpliendo así con lo prometido este sábado de retirarlo en 24 horas.	El creador de Flappy Bird, Dong Nguyen, decidió este sábado eliminar el juego de las tiendas de aplicaciones App Store y Google Play.	3.8
La presión más explícita viene por parte de Rusia, que le ofreció una ayuda financiera de 15 mil millones de dólares y un tercio de reducción del precio del gas ruso, después de que Yanukovich rechazara firmar un acuerdo de asociación con la Unión Europea para mirar hacia Moscú.	Moscú ofreció a Ucrania una ayuda financiera de 15 mil millones de dólares y una reducción del precio de su gas en un tercio, después de que Yanukovich rechazara en noviembre firmar un acuerdo de asociación con la Unión Europea para acercarse más a Rusia.	3.6
El deslizamiento de parte de un cerro sobre varias viviendas dejó cuatro muertos y 10 desaparecidos en la localidad de Ch'ullpa K'asa, municipio de Morochata, en el departamento de Cochabamba, informó hoy la secretaria de Derechos de la Madre Tierra, de la Gobernación de esa región, Cintya Vargas.	El deslizamiento se produjo anoche en el municipio de Morochata y sepultó unas 15 casas, dijo en rueda de prensa la secretaria de Derechos de la Madre Tierra de la Gobernación de Cochabamba, Cinthia Vargas.	2.6
Al parecer, el motivo es cumplir la normativa de la Asociación Europea de Zoológicos y Acuarios.	El zoológico argumentó que sacrificó el animal en seguimiento de las normas impuestas por la asociación de zoológicos de la Unión Europea, a fin de evitar la consanguineidad.	2.4
sDesde el inicio de las conversaciones de paz hemos manifestado de manera pública y reiterada nuestra absoluta disposición para concertar y firmar de manera inmediata un Tratado de Regularización de la Guerra, o un cese bilateral de hostilidades entre las partess, dijo Pablo Catatumbo, uno de los negociadores de la guerrilla, en una carta dirigida el lunes al vicepresidente colombiano, Angelino Garzón.	sDesde el inicio de las conversaciones de paz con el gobierno del presidente Santos, las FARC-EP hemos manifestado de manera pública y reiterada nuestra absoluta disposición para concertar y firmar de manera inmediata un tratado de regularización de la guerra, o un cese bilateral de hostilidades entre las partess, aseguraron las FARC.	3.2
Una gran nevada que cae en la zona oriental de Japón desde el sábado ha provocado importantes problemas en el transporte, entre ellos accidentes de circulación que causaron cuatro muertos.	La mayor nevada de este invierno sembró de blanco ayer las zonas de montaña de Ourense y afectó a la actividad ordinaria de veintiséis centros educativos de toda la provincia: 16 ubicados en municipios de alta montaña, nueve del sur ourensano y uno en la zona oriental.	2.2
Andrade fue alcanzado por un artefacto explosivo cuando estaba cubriendo las protestas en el centro de Río de Janeiro contra la subida del precio del transporte público, de acuerdo con Agencia Brasil.	Confirman muerte cerebral de camarógrafo herido en protesta en Río; el camarógrafo fue herido el jueves cuando cubría una manifestación en la ayor estación ferroviaria de Río de Janeiro, contra el aumento del pasaje de utobús, a 4 meses del Mundial de Fútbol en Brasil.	2.2
Es un disparate”, respondió Jorge Bergoglio al otro lado de la línea, y explicó cuál es su agenda de reuniones con argentinos para el mes que viene: “El 19 acá vienen José María Del Corral y Ricardo Pignanelli, pero es una reunión por la educación.	Jorge Bergoglio explicó que su agenda de reuniones con argentinos para el mes que viene tiene el 19 como invitado al presidente del Consejo general de Educación del Arzobispado de Buenos Aires, José María Del Corral, y al titular de Smata, Ricardo Pignanelli, “pero es una reunión por la educación.	3
El creador de Flappy Bird Creator Dong Nguyen, en declaraciones a The Verge, justifica el éxito del título diciendo que se trata de salgo totalmente diferente a los juegos para móviles de hoy en día, y es un muy buen juego para competir contra otross.	El creador del juego considera que su éxito se debe a se trata de «algo totalmente diferente a los juegos para móviles de hoy en día, e incita a competir contra otros jugadores».	2.8
La visita se produce días después de que la jefa de la diplomacia europea avanzara que la UE y Estados Unidos están trabajando en un plan de ayudas económicas para Ucrania en apoyo al próximo gobierno interino para que impulse las reformas políticas y económicas, según avanzó en una entrevista al diario 'The Wall Street Journal' durante la Conferencia de Seguridad de Múnich.	La Alta Representante de Política Exterior y de Seguridad Común de la UE, Catherine Ashton, ha anunciado que Estados Unidos y los Veintiocho están trabajando en un plan de ayudas económicas para Ucrania en apoyo al próximo gobierno interino para que impulse reformas políticas y económicas.	2.4
El ex boxeador invitó a los manifestantes a inscribirse en las unidades de autodefensa creadas en distintos puntos del país y seguir la consigna “yo soy ucraniano y no tengo miedo”.	El exboxeador invitó a los manifestantes a inscribirse en las unidades de autodefensa creadas en distintos puntos del país y seguir la consigna “soy ucraniano y no tengo miedo”. “La gente tiene que seguir en la calle hasta el final, de lo contrario tendremos represalias.	3.2
Hasta la tarde de ayer, un récord de 33 centímetros de nieve habían caído en Chiba, al este de Tokio, el nivel más alto desde que comenzaron a tomarse los registros de las nevadas en 1966, según un reporte de la agencia estatal de noticias Kyodo.	Un manto blanco de 27 cm de espesor recubrió Tokio, algo que no ocurría desde hacía 45 años, según la agencia de meteorología japonesa.	1.6
La importancia de esta cumbre radica en la firma del Protocolo Adicional al Acuerdo Marco de la Alianza que será firmado el lunes por Santos, Peña Nieto y sus homólogos de Chile, Sebastián Piñera, y de Perú, Ollanta Humala, para eliminar los aranceles al 92 % de los bienes y servicios que se comercian entre los cuatro países.	La firma de este acuerdo estará acompañada de una declaración final de la cumbre cuyos detalles afinó hoy el Consejo de Ministros, instancia formada por los titulares de Relaciones Exteriores y de Comercio de los cuatro países.	1.8
Más de 20 mil hogares se quedaron sin luz y se produjeron más de cinco mil accidentes a raíz de la nieve.	La capital nipona quedó cubierta con 27 centímetros de nieve.	1.8
Según ha explicado la ESA en un comunicado, los colores de la imagen se han alterado para estudiar los complejos procesos de la meteorología saturnina.	El Huawei Ascend G6 se deja ver en una imagen en cinco colores	0.6
El tiroteo provocó la salida de decenas de estudiantes a plena calle, donde había temperaturas bajo cero Según el canal de televisión Rossía 24, el alumno, cuya identidad no ha sido desvelada, mató al profesor antes de ser detenido por la policía.	Según el canal de televisión Rossía 24, el alumno, cuya identidad no ha sido revelada hasta el momento, mató al profesor antes de ser detenido por la Policía.	3.4
No dejaremos que ninguno de nuestros residentes viva en la sombras, dijo De Blasio en español al realizar el anuncio durante su discurso del estado de la ciudad, en el que presentó las grandes líneas de su acción de gobierno para 2014, señaló AFP.	No dejaremos que ninguno de nuestros residentes viva en las sombrass, ha afirmado en español De Blasio durante su discurso sobre el estado de la ciudad, en el que ha anunciado su proyecto.	4
La orden es para búsqueda y captura contra Jian Zemin por delitos en la represión en el Tíbet La Audiencia Nacional española dictó hoy una orden internacional de búsqueda y captura contra el ex presidente de China, Jiang Zemin, el ex primer ministro Li Peng y otros ex dirigentes del país, por presuntos delitos en la represión en el Tíbet.	Justicia española ordena detención del ex presidente chino Jiang Zemin ambién lanza una orden internacional de arresto contra el ex primer ministro i Peng y otros ex dirigentes chinos, por presuntos delitos en el Tíbet.	3.6
La odisea de Alvarenga, que parece salida del sRelato de un náufragos de Gabriel García Márquez, suscita desde hace más de una semana un gran interés en todo el mundo.	La odisea del náufrago salvadoreño que afirma haber sobrevivido 13 meses en el océano Pacífico antes de llegar a las Islas Marshall suscita desde hace más de una semana un gran interés en todo el mundo.	2.8
Ha bajado un poco la actividad, pero todavía se considera altos, apuntó la experta, Alexandra Alvarado, técnica del Instituto Geofísico, quien añadió en declaraciones a Efe que la ceniza del coloso ha caído sobre varias poblaciones de cinco provincias del país: Tungurahua, Chimborazo, Bolívar, Azuay y Cañar.	Ha bajado un poco la actividad, pero todavía se considera altos, apuntó el experto, al agregar que la ceniza ha caído en varios poblados de las provincias de Tungurahua, Chimborazo, Bolívar, Azuay, Cañar y Loja.	3.6
El alto al fuego shumanitarios de tres días, certificado por la ONU y con el supuesto apoyo de régimen y alzados, quedó en nada.	Ambas partes se acusaron la una a la otra de romper el alto el fuego de tres días acordado para que los residentes pudieran abandonar la localidad y para permitir la entrada de asistencia de emergencia.	2
Sin embargo, el argumento del grave impacto macroeconómico que podía tener entrar en una renegociación con la UE no fue suficiente para calmar los temores de la población.	El alcalde de Nueva York, Bill de Blasio en un mensaje ofrecido este lunes.	0
sVenimos como un socio hermano a finiquitar los acuerdos comerciales que expresan la voluntad política de cuatro pueblos hermanos, México, Chile, Colombia y Perús, afirmó Humala a su llegada a Cartagena.	Añadió que a esta cumbre de la Alianza del Pacífico el Perú acude como “un socio y un hermanos para finiquitar los acuerdos comerciales sque expresan la voluntad política de cuatro pueblos hermanos: México, Colombia, Chile y Perú”.	4
El Pacto de Bogotá, al que Chile se adhirió en 1948, otorga a la CIJ potestad para resolver conflictos que surjan entre las naciones firmantes.	De ahí que si bien cuando, hace unas semanas, el diputado gremialista Iván Moreira, junto a su par PPD Jorge Tarud, plantearon la idea de que la permanencia de Chile en el Pacto de Bogotá debía ser revisada, en el caso que el fallo de La Haya no fuera ajustado a derecho, recibieron una andanada de críticas de todos los sectores, tras conocer el veredicto, otros representantes de su partido han comenzado a considerar esta suposición como una posibilidad cierta. O, al menos, como un debate que es necesario hacer.	2.4
El país, que atraviesa una mala situación financiera, se quedó sin respaldo financiero europeo cuando el gobierno de Yanukovich renunció, a fines de noviembre, a firmar un acuerdo de asociación con la Unión Europea , lo que desencadenó las primeras protestas callejeras.	El país, en muy mala situación financiera, se privó de la ayuda europea al renunciar a fines de noviembre a un acuerdo de asociación con la Unión Europea, lo que desencadenó las protestas en la calle.	3.8
Contó a las autoridades que había zarpado el 24 de diciembre de 2012 de México con un compañero que no sobrevivió.	Según el hombre, partió de México a finales de 2012 en una expedición para pescar tiburones en aguas de El Salvador junto con un compañero, Ezequiel, quien supuestamente murió en alta mar.	3.5
Por el momento, al encuentro fueron convocados el ministro de Trabajo de la Nación, Carlos Tomada; el presidente de la Unión Industrial Argentina , Héctor Méndez; su vice, Daniel Funes de Rioja, y el titular de la Unión Obrera de la Construcción de la República Argentina , Gerardo Martínez, uno de los principales referentes de la CGT oficialista.	Habían señalado que el Pontífice iba a recibir el miércoles 19 de marzo al ministro de Trabajo, Carlos Tomada; el presidente de la UIA, Héctor Méndez; su vice Daniel Funes de Rioja, y el titular de la Unión Obrera de la Construcción y referente de la CGT oficialista, Gerardo Martínez.	2.6
Cuando se dio aviso a la policía y llegaron los agentes, el secuestrador disparó hiriendo a dos de ellos, uno de los cuales falleció después. El tiroteo provocó la salida de decenas de estudiantes a plena calle, donde había temperaturas bajo cero Según el canal de televisión Rossía 24, el alumno, cuya identidad no ha sido desvelada, mató al profesor antes de ser detenido por la policía.	El encuentro entre el pontífice y funcionarios de la administración que encabeza Cristina Kirchner y dirigentes de la Unión Industrial Argentina y de la Confederación General del Trabajo oficialista, que lidera el metalúrgico Antonio Caló, se realizará el miércoles 19 de marzo.	0
Las autoridades de las Islas Marshall trasladarán a Majuro, la capital de esta nación del Pacífico Sur, a un pescador mexicano que asegura haber pasado más de un año a la deriva, informaron medios locales.	El pescador que pasó un año a la deriva en el Pacífico es salvadoreño.	1.8
En un documento que inició en el 2004 y modificó por última vez en el 2008, Nelson Mandela dejó impresa su voluntad sobre cómo repartir su patrimonio luego de que dejara de existir.	Las raras veces en que Alvarenga apareció en público desde el viernes lo hizo rodeado de un grupo de voluntarios, que permanecen en su cuarto y le ayudan a cumplir su deseo de no hablar con la prensa sobre su odisea en el mar.	0
Doña Sofía recibirá a partir de este año el 45 por ciento de lo que percibe el Rey como sueldo y como gastos de representación y la Princesa percibirá un 35 por ciento.	Es decir Doña Sofía percibirá 63.234 euros brutos en concepto de sueldo y 68.505 como gastos de representación mientras que la Princesa cobrará 49.182 como sueldo y 53.282 como gastos de representación.	2.8
Hoy en Portada Colombia, Chile, México y Perú firman desgravación arancelaria Colombia, Chile, México y Perú firman desgravación arancelaria Ceniza del Tungurahua llega a Loja; en Cuenca paralizan vuelos y clases BAÑOS, Tungurahua.	Las zonas altas de Quero están entre las más afectadas con la caída de ceniza del volcán Tungurahua.	0.6
Cartagena — El presidente de Colombia, Juan Manuel Santos, inauguró este lunes en Cartagena la VIII Cumbre de la Alianza del Pacífico, que debe sellar un pacto comercial para desgravar 92% de las partidas arancelarias del bloque que integran también Chile, México y Perú.	El presidente de Colombia, Juan Manuel Santos, inauguró este lunes la VIII Cumbre de la Alianza del Pacífico, que debe sellar un pacto comercial para desgravar 92% de las partidas arancelarias del bloque, orientado a permitir la producción conjunta de bienes e impulsar el comercio con Asia.	4
Andrade, de 49 años, cubría una protesta contra el aumento del pasaje de autobús, que comenzó pacífica pero degeneró en violentos enfrentamientos dentro y en los alrededores de la estación Central, la mayor estación de metro y trenes de Rio.	Santiago Andrade, camarógrafo de la red Bandeirantes de 49 años y padre de una niña de 11, cubría el jueves pasado una violenta protesta contra el aumento del pasaje de autobús frente a la Central do Brasil, la mayor estación de metro y trenes de Rio, cuando fue impactado en la cabeza por una bengala.	4
La ayuda ha estado llegando este domingo a los barrios más castigados de la ciudad, luego que el sábado se registraran varios ataques contra los convoyes humanitarios de las Naciones Unidas y la Media Luna Roja, de los que el régimen sirio y la oposición se acusaron mutuamente.	Amos ha ensalzado la svalentías y la stenacidads de los trabajadores humanitarios de Naciones Unidas y la Media Luna Roja que entraron este sábado en la Ciudad Vieja de Homs para entregar la ayuda a la población.	3
Las raras veces en que Alvarenga apareció en público desde el viernes lo hizo rodeado de un grupo de voluntarios, que permanecen en su cuarto y le ayudan a cumplir su deseo de no hablar con la prensa sobre su odisea en el mar.	Esta decisión ha provocado un fuerte rechazo de movimientos opositores del régimen castrista como el de las Damas de Blanco, muy respetadas en Bruselas, donde fueron reconocidas con el premio Sajarov a la libertad de conciencia.	0
Los colores de esta imagen, centrada sobre una posición a 0° de longitud y 35° de latitud norte, sse han alterado para estudiar los complejos procesos de la meteorología saturninas.	Según ha explicado la ESA en un comunicado, los colores de la imagen se han alterado para estudiar los complejos procesos de la meteorología saturnina.	2.2
En medio del descontento popular con el gobierno de Laura Chinchilla, Araya, exalcalde de 56 años, fue sorprendido por Solís, quien no sólo se coló en la segunda ronda sino que lo superó con 31% de los votos contra 29% el domingo.	En medio del descontento popular con la gestión de la presidenta Laura Chinchilla, Araya, del gobernante Partido Liberación Nacional , fue sorprendido por el candidato del Partido Acción Ciudadana , quien no sólo se coló en la segunda ronda sino que lo pasó con 30,8% sobre 29,6%, escrutado un 80% de las mesas.	3.6
En los comicios, que también renovaron el Congreso de 57 diputados, el PLN habría perdido seis curules, quedando con 18, el PAC con 13, el FA y el PUSC con 9 cada uno y el ML con 3.	Según las primeras proyecciones, en el Congreso también se deberán dar alianzas al haber quedado muy fraccionado: el PLN con 18, el PAC con 13, el FA y el PUSC con 9 cada uno y el ML con 3.	3.8
A pesar de esto, el actual mandatario Juan Manuel Santos lograría la reelección, ya que dispone del 25% de intención de voto, mientras que el candidato del uribismo, Oscar Iván Zuluaga, quedaría segundo, pero muy lejos, con el 8 por ciento.	En ese escenario, Santos tendría el 38,4 por ciento, mientras que la candidata conservadora se quedaría con el 30,8 por ciento.	1.4
En las asignaciones de este año, el rey recibirá un total de 292 mil 752 euros , de los que 140 mil 519 euros son de sueldo, y 152 mil 233 euros para gastos de representación.	La princesa Letizia tendrá una asignación de 102 mil 464 euros , de los que 49 mil 182 euros son de sueldo y 53 mil 282 euros en gastos de representación.	2
Pero sería criminal no intentar lograr un éxitos, aseguró el diplomático, especialmente involucrado en las negociaciones sobre el programa nuclear iraní.	Teherán y Washington abogaron este domingo, en la Conferencia de Seguridad de Múnich , por desterrar la desconfianza mutua de cara a la próxima reanudación de las negociaciones sobre el controvertido programa nuclear iraní.	2
En una entrevista publicada este lunes en el Wall Street Journal, Ashton confirmó la preparación de un paquete de asistencia financiera a Ucrania, después de los contactos entre los líderes occidentales y la oposición ucraniana este fin de semana en la reunión de seguridad de Múnich .	En una entrevista publicada este lunes en el Wall Street Journal, la Alta Representante diplomática de la UE, Catherine Ashton, confirmó la preparación de un paquete de asistencia financiera a Ucrania, después de contactos entre líderes occidentales y la oposición ucraniana este fin de semana en la reunión de seguridad de Múnich Según ella, la UE y Estados Unidos “desarrollan un plan que analiza lo que debemos hacer a partir de ahora en diferentes sectores de la economía para mejorar las cosas”.	2.8
Según medios ucranianos, activistas del “Euromaidán” se habrían manifestado con este objeto en alusión a la leyenda urbana que indica que el mandatario posee un retrete dorado en su residencia en de Mezhigorie.	Activistas del Euromaidán y estudiantes lo habrían colocado allí en alusión a la leyenda urbana que señala que el presidente, Víktor Yanukóvich, tiene un retrete de oro en su residencia de Mezhigorie.	3.2
La alerta naranja decretada el sábado por la noche reemplazó a la amarilla, que estaba vigente desde noviembre pasado y que generalmente rige para las áreas de influencia ante el largo proceso eruptivo.	La alerta naranja decretada el sábado por la noche, a cargo de la Secretaría Nacional de Gestión de Riesgos , reemplazó a la amarilla, vigente desde noviembre pasado y que generalmente rige para las áreas vecinas al volcán.	3.6
Las Naciones Unidas y la Media Luna Roja Árabe Siria ha logrado sacar de la Ciudad Vieja de Homs a por lo menos 611 civiles, en el tercer día de la misión destinada a evacuar y repartir ayuda humanitaria, en línea con un acuerdo negociado por la ONU.	Damasco/El Cairo, 9 feb .- La ONU y la Media Luna Roja evacuaron hoy de la ciudad siria de Homs al menos 611 civiles como parte de la tregua humanitaria entre Gobierno y oposición, un día antes de que comience la segunda ronda de negociaciones de paz de Ginebra II, en Suiza.	3.4
También participa la presidenta costarricense Laura Chinchilla, cuyo país fue ya admitido en el grupo y está a la espera de que entren en vigor los TLC con México y Colombia.	También se esperaba la llegada de la mandataria costarricense, Laura Chinchilla, quien participará en la primera parte de la cumbre presidencial.	2.4
sDesde el inicio de las conversaciones de paz hemos manifestado de manera pública y reiterada nuestra absoluta disposición para concertar y firmar de manera inmediata un Tratado de Regularización de la Guerra, o un cese bilateral de hostilidades entre las partess, dijo Pablo Catatumbo, uno de los negociadores de la guerrilla, en una carta dirigida el lunes al vicepresidente colombiano, Angelino Garzón.	sDesde el inicio de las conversaciones de paz con el gobierno del presidente Santos, las FARC-EP hemos manifestado de manera pública y reiterada nuestra absoluta disposición para concertar y firmar de manera inmediata un tratado de regularización de la guerra, o un cese bilateral de hostilidades entre las partess, aseguró la insurgencia.	3
Damasco/El Cairo, 9 feb .- La ONU y la Media Luna Roja evacuaron hoy de la ciudad siria de Homs al menos 611 civiles como parte de la tregua humanitaria entre Gobierno y oposición, un día antes de que comience la segunda ronda de negociaciones de paz de Ginebra II, en Suiza.	Las Naciones Unidas y la Media Luna Roja Árabe Siria han logrado sacar de la Ciudad Vieja de Homs a por lo menos 611 civiles, en el tercer día de la misión destinada a evacuar y repartir ayuda humanitaria, en línea con un acuerdo negociado por la ONU.	3.6
La diócesis local de la Iglesia Ortodoxa Rusa dijo que los muertos son una monja que trabajaba en la Catedral de la Resurrección de Cristo y uno de los feligreses, agregó la fuente citada por las agencias locales.	Los muertos son una monja que trabajaba en la Catedral de la Resurrección de Cristo y uno de los feligreses, agrega el comunicado citado por las agencias locales.	3.4
Sánchez Cerén y Quijano declararon este lunes por separado a la prensa que están abiertos aliarse con el movimiento Unidad para garantizarse el triunfo en la segunda vuelta que podría celebrarse el 9 de marzo próximo, aunque no ha sido oficializada por el TSE en espera del escrutinio definitivo.	Sánchez Cerén y Quijano declararon este lunes por separado a los periodistas que están abiertos a aliarse con Unidad para garantizarse el triunfo en la segunda vuelta, para la que todavía no hay fecha ya que falta el escrutinio definitivo.	3.6
La idea es trazar una hoja de ruta para la incorporación total de Costa Rica, que el próximo 8 de mayo tendrá un nuevo presidente tras la segunda vuelta electoral del 6 de abril.	Chinchilla está próxima a concluir su mandato, que entregará el 8 de mayo al vencedor en la segunda vuelta electoral del 6 de abril, pero el cambio de Gobierno no alterará la adhesión de Costa Rica a la Alianza del Pacífico, como dijo en una entrevista con Efe la ministra de Comercio Exterior, Anabel González.	1.8
Los ministros de Exteriores y Comercio de los países miembros de la Alianza, se hicieron la foto oficial en la explanada del Centro de Convenciones de la ciudad caribeña.	Algunos apartes de los aspectos más relevantes señalados por los cuatro ministros durante la rueda de prensa y que se enmarcan en el compromiso de seguir desarrollando los 5 pilares de trabajo como son la libre circulación de bienes, de servicios, de personas, de capital y la cooperación.	1
sLas Naciones Unidas y nuestros socios humanitarios no vamos a ser disuadidos de hacer todo lo que podamos para llevar a asistencia a aquellos que necesitan nuestra ayudas, señaló Amos en un comunicado.	sNaciones Unidas y nuestros socios humanitarios no se verán desalentados de hacer lo mejor que podamos la entrega de la ayuda a aquellos que necesitan nuestra ayudas, agrega.	4
AFP - Los partidos de la oposición ucraniana convocaron nuevas manifestaciones el domingo al medio día en la plaza de la Independencia de Kiev, ocupada y rodeada de barricadas desde hace más de dos meses.	Igualmente, los candidatos de los partidos de oposición manifestaron sin restricciones sus críticas al gobierno y al partido en el poder.	1
Diario de León - ‎hace 30 minutos‎ El presidente de Extremadura, José Antonio Monago, sigue abanderando la oposición a la reforma de la ley del aborto dentro del PP.	El programa de La Sexta emite un vídeo irónico de dirigentes del PP usando Google Glass.	0.2
El legado de Mandela incluye una finca de lujo en Johannesburgo y una modesta vivienda rural en su provincia natal del Cabo Oriental. Y, además, están los derechos de autor de sus libros, entre ellos su exitosa autobiografía Un largo camino hacia la libertad.	La cifra sobre la herencia de Mandela es estimativa, ya que excluye los beneficios que derivados de los derechos de imagen Además de a su familia, Mandela lega parte de su patrimonio a sus colaboradores más cercanos, a las instituciones educativas por las que pasó y a su partido, el gubernamental Congreso Nacional Africano.	2.8
Suiza volverá a limitar la entrada de los trabajadores europeos a su mercado laboral.	Por ello, la Comisión Europea slamentas la iniciativa de introducir cuotas para la restricción de la inmigración europea a su mercado laboral.	2.6
Contó a las autoridades que había zarpado el 24 de diciembre de 2012 de México con un compañero que no sobrevivió.	José Salvador Albarengo, de 37 años, zarpó de México el 24 de diciembre de 2012 y el jueves de la semana pasada fue encontrado en el lejano atolón coralino de Ebon, en las Islas Marshall, vistiendo apenas un calzón hecho jirones.	3.2
Bajo el gobierno de Chen Kuiyuan como ex secretario del Partido Comunista en el Tíbet, slas desapariciones aumentaron enormementes y sla represión y las fuertes restricciones sobre la actividad religiosa se desbocaron y se expulsaron del partido a numerosas personas de etnia tibetanas, señala el auto del juez en base a las alegaciones de los querellantes.	El juez reproduce las afirmaciones de los querellantes de que bajo el gobierno de Chen Kuiyuan como ex secretario del Partido Comunista en el Tíbet, slas desapariciones aumentaron enormemente tras los cambios en la administración penitenciaria que se hicieron en 1994, la represión y las fuertes restricciones sobre la actividad religiosa se desbocaron y se expulsaron del partido a numerosas personas de etnia tibetanas.	3.8
El Departamento de Policía de Nueva York está probando algunas unidades de Google Glass, para ver si les resultan útiles en el trabajo policíaco.	Policía de Nueva York hace pruebas con las Google Glass l Departamento de Policía de Nueva York, EE.UU. comenzó a probar las gafas nteligentes Google Glass con el fin de ayudar a los agentes a disponer ápidamente de información sobre sospechosos, gracias a las técnicas de econocimiento facial.	3.4
La Gobernación realiza trabajos de desvió en el río Rocha por la zona de la Muyurina, donde seis viviendas corren el riesgo de colapsar por la erosión del terreno y la invasión de la franja de seguridad.	Por un estrechísimo margen, de apenas 0,3%, los votantes suizos aprobaron ayer en referéndum volver al antiguo sistema para limitar la entrada de trabajadores de la UE, como lo hace en el caso de todo el resto de países.	0.2
El juez de la Audiencia Nacional Ismael Moreno ha ordenado la busca y captura del ex presidente del Gobierno chino Jiang Zemin y de otros cuatro antiguos dirigentes del país asiático para que ingresen en prisión incondicional y sin fianza por presuntos delitos de genocidio, tortura y lesa humanidad cometidos en el Tibet.	Un tibetano intenta inmolarse en Nepal y eleva a 100 los que se prenden fuego Jiang Zemin.	1
La firma del pacto de paz de Dayton, que puso fin a la guerra de Bosnia, puso la mayor responsabilidad en manos de la comunidad internacional.	El acuerdo de paz que puso fin a la guerra creó un complejo sistema político en el que más de 150 ministerios gobiernan a 4 millones de bosnios.	1.8
sNo tenemos formalizado nada pero estoy seguro de que ambos mandatarios se van a dar un espacio para conversar e intercambiar opiniones y también de las relaciones en general entre Chile y Perús, declaró el canciller chileno, Alfredo Moreno, desde Cartagena a medios de su país.	sNo tenemos formalizado nada pero estoy seguro de que ambos mandatarios se van a dar un espacio para conversar y de intercambiar opiniones y también de las relaciones en general entre Chile y Perús, declaró Moreno a los periodistas que acompañan a la delegación chilena a la cumbre.	4
Las regalías de los libros de Mandela y otros proyectos, así como sus casas en Johannesburgo, Ciudad del Cabo, Qunu y Mthatha fueron legadas a la fundación familiar sNelson Rohlilala Mandela Family Trusts.	Por qué Suiza quiere frenar la inmigración de la Unión Europea os suizos votaron a favor de imponer límites a la entrada de trabajadores uropeos.	0
Esa agencia mantiene hoy catorce alertas sgravess -con riesgo para la vida- de inundaciones en varias áreas por donde pasa el Támesis, entre ellas Berkshire y Surrey, en el sur de Inglaterra.	09/02/14 Londres.- La Agencia medioambiental británica elevó hoy a 16 el número de alertas sgravess -con riesgo para la vida- por inundaciones en Inglaterra ante la llegada de un nuevo temporal.	2.2
